Exchange,Base,Quote,Time,Open,High,Low,Close,Quote Volume,Base Volume
KRAKEN,BTC,USD,2022-12-22 14:30,16764.8,16764.8,16623,16681,2270885.05,136.1325443
KRAKEN,BTC,USD,2022-12-22 14:45,16681,16681.7,16640,16671,346911.7192,20.81829845
KRAKEN,BTC,USD,2022-12-22 15:00,16671.1,16685,16633.8,16684.9,543943.3692,32.66156089
KRAKEN,BTC,USD,2022-12-22 15:15,16685,16710.3,16678.2,16686.7,308662.0965,18.48130643
KRAKEN,BTC,USD,2022-12-22 15:30,16686.6,16686.7,16650.2,16657.8,395062.0102,23.71150352
KRAKEN,BTC,USD,2022-12-22 15:45,16657.7,16665,16610.2,16634.3,598100.4399,35.95871787
KRAKEN,BTC,USD,2022-12-22 16:00,16634.3,16643.1,16608.3,16626.6,526921.5449,31.70566969
KRAKEN,BTC,USD,2022-12-22 16:15,16626.7,16659.6,16626.7,16647.1,254146.1066,15.27003244
KRAKEN,BTC,USD,2022-12-22 16:30,16645.3,16668.6,16642.9,16662.9,571203.5093,34.2926834
KRAKEN,BTC,USD,2022-12-22 16:45,16662.8,16662.9,16645,16662.8,195108.5664,11.71405525
KRAKEN,BTC,USD,2022-12-22 17:00,16662.2,16662.3,16648,16648.7,264256.8592,15.86505308
KRAKEN,BTC,USD,2022-12-22 17:15,16648.6,16650.3,16610.3,16620.3,371049.432,22.3152896
KRAKEN,BTC,USD,2022-12-22 17:30,16620.3,16621.1,16581.1,16605.1,485398.6116,29.244147
KRAKEN,BTC,USD,2022-12-22 17:45,16604.4,16607.3,16580,16589.1,366465.5986,22.09175801
KRAKEN,BTC,USD,2022-12-22 18:00,16589,16600,16565.9,16600,548814.8373,33.09845605
KRAKEN,BTC,USD,2022-12-22 18:15,16599.9,16610.8,16595.1,16600.1,247760.6396,14.92504385
KRAKEN,BTC,USD,2022-12-22 18:30,16600.1,16612.7,16579.5,16609.4,815954.3439,49.18247242
KRAKEN,BTC,USD,2022-12-22 18:45,16609.5,16613.5,16599.1,16611.9,291803.3935,17.57420853
KRAKEN,BTC,USD,2022-12-22 19:00,16612.5,16649.7,16607.5,16643.8,478154.4947,28.75156731
KRAKEN,BTC,USD,2022-12-22 19:15,16645.3,16650,16631.4,16649.8,95333.70943,5.73004514
KRAKEN,BTC,USD,2022-12-22 19:30,16650,16650,16638.6,16645.4,169056.4026,10.15592734
KRAKEN,BTC,USD,2022-12-22 19:45,16645.4,16662.9,16645.3,16658.3,590291.6127,35.4413802
